"Country","Continent","Corporate Tax Rate"
"Taiwan","AS",20
"Tajikistan","AS",23
"Thailand","AS",20
"The former Yugoslav Republic of Macedonia","EU",10
"Timor-Leste","OC",10
"Togo","AF",27
"Tokelau","OC",0
"Tonga","OC",25
"Trinidad and Tobago","NO",30
"Tunisia","AF",25
"Turkey","AS",22
"Turkmenistan","AS",8
"Turks and Caicos Islands","NO",0
"Uganda","AF",30
"Ukraine","EU",18
"United Arab Emirates","AS",0
"United Kingdom of Great Britain and Northern Ireland","EU",19
"United Republic of Tanzania","AF",30
"United States of America","NO",25.766571
"United States Virgin Islands","NO",23.1
"Uruguay","SA",25
"Uzbekistan","AS",7.5
"Vanuatu","OC",0
"Venezuela (Bolivarian Republic of)","SA",34
"Viet Nam","AS",20
"Wallis and Futuna Islands","OC",0
"Yemen","AS",20
"Zambia","AF",35
"Zimbabwe","AF",24.72
