"ISO3","Country","Continent","Corporate Tax Rate"
"MNP","Northern Mariana Islands","OC",21
"NOR","Norway","EU",22
"OMN","Oman","AS",15
"PAK","Pakistan","AS",29
"PAN","Panama","NO",25
"PNG","Papua New Guinea","OC",30
"PRY","Paraguay","SA",10
"PER","Peru","SA",29.5
"PHL","Philippines","AS",25
"POL","Poland","EU",19
"PRT","Portugal","EU",31.5
"PRI","Puerto Rico","NO",37.5
"QAT","Qatar","AS",10
"KOR","Republic of Korea","AS",27.5
"MDA","Republic of Moldova","EU",12
"ROU","Romania","EU",16
"RUS","Russian Federation","EU",20
"RWA","Rwanda","AF",30
"BLM","Saint Barthelemy","NO",0
"SHN","Saint Helena","AF",25
"KNA","Saint Kitts and Nevis","NO",33
"LCA","Saint Lucia","NO",30
"MAF","Saint Martin (French Part)","NO",20
"VCT","Saint Vincent and the Grenadines","NO",30
"WSM","Samoa","OC",27
"SMR","San Marino","EU",17
"STP","Sao Tome and Principe","AF",25
"SAU","Saudi Arabia","AS",20
"SEN","Senegal","AF",30
"SRB","Serbia","EU",15
"SYC","Seychelles","AF",25
"SLE","Sierra Leone","AF",25
"SGP","Singapore","AS",17
"SXM","Sint Maarten (Dutch part)","NO",34.5
"SVK","Slovakia","EU",21
"SVN","Slovenia","EU",19
"SLB","Solomon Islands","OC",30
"ZAF","South Africa","AF",28
"SSD","South Sudan","AF",30
"ESP","Spain","EU",25
"LKA","Sri Lanka","AS",24
"PSE","State of Palestine","AS",15
"SDN","Sudan","AF",35
"SUR","Suriname","SA",36
"SWZ","Swaziland","AF",27.5
"SWE","Sweden","EU",20.6
"CHE","Switzerland","EU",19.699
"SYR","Syrian Arab Republic","AS",28
"TWN","Taiwan","AS",20
"TJK","Tajikistan","AS",18
"THA","Thailand","AS",20
"MKD","The former Yugoslav Republic of Macedonia","EU",10
"TLS","Timor-Leste","OC",10
"TGO","Togo","AF",27
"TKL","Tokelau","OC",0
"TON","Tonga","OC",25
"TTO","Trinidad and Tobago","NO",30
"TUN","Tunisia","AF",15
"TUR","Turkey","AS",23
"TKM","Turkmenistan","AS",8
"TCA","Turks and Caicos Islands","NO",0
"UGA","Uganda","AF",30
"UKR","Ukraine","EU",18
"ARE","United Arab Emirates","AS",0
"GBR","United Kingdom of Great Britain and Northern Ireland","EU",19
"TZA","United Republic of Tanzania","AF",30
"USA","United States of America","NO",25.808
"VIR","United States Virgin Islands","NO",23.1
"URY","Uruguay","SA",25
"UZB","Uzbekistan","AS",15
"VUT","Vanuatu","OC",0
"VEN","Venezuela (Bolivarian Republic of)","SA",34
"VNM","Viet Nam","AS",20
"WLF","Wallis and Futuna Islands","OC",0
"YEM","Yemen","AS",20
"ZMB","Zambia","AF",30
"ZWE","Zimbabwe","AF",24.72
